,ID,Tweet,Label
0,19,Αδιανόητη πiσω όψη από Ελληνίδα παρουσιάστρια - «Χάθηκε» το μαyιό σε αυτά τα οπ iσ θια! #survivorgr #poweroflovegr #shoppingstar #εκλογες2019 #ekloges2019 #ευρωεκλογές2019,Not Offensive
1,36,"ΠΡΑΞΙΚΟΠΗΜΑ ΣΤΗ ΔΙΚΑΙΟΣΥΝΗ! ΟΙ ΜΠΟΛΣΕΒΙΚΟΙ ΚΑΙΝΕ Ο,ΤΙ ΑΠΕΜΕΙΝΕ ΛΙΓΟ ΠΡΙΝ ΞΕΚΟΥΜΠΙΣΤΟΥΝ – ΠΡΩΤΟΦΑΝΕΣ ΞΗΛΩΜΑ ΔΙΚΑΣΤΩΝ ΛΙΓΟ ΠΡΙΝ ΤΙΣ ΕΚΛΟΓΕΣ",Not Offensive
2,614,"Αν είσαι Σκορπιός είσαι η μεγαλύτερη «σκύλα», ενώ αν είσαι Παρθένος είσαι ξενέρωτη! Αυτές τις γυναίκες πρέπει να αποβά",Not Offensive
3,2116,«Power of Lονe 2». Τι να κάνει και ο Ίωνας ο κερατάς; Προωθεί.... #survivorgr #poweroflovegr #shoppingstar #gntmgr #εκλογες2019 #ekloges2019 #ευρωεκλογές2019 #masterchefgr #gynaikaxwrisonoma #petatifriteza #elastithesimou #tatouaz,Not Offensive
4,2474,FASHION TIPS by BEAST BOY Αν θέλετε να είστε sexy - με γήινες αποχρώσεις - κάντε παθιασμένο sex στις λάσπες και τα χώματα! Ε μα πια... #shoppingstar,Not Offensive
5,2517,Τατουάζ = λέπρα τάδε έφη κύριος Αραπαντζης #giatinparea,Offensive
6,3225,Οι γυναίκες που δεν κάνουν στοματικό έρωτα κινδυνεύουν από κατάθλιψη!,Not Offensive
7,3672,"Μας τα επρηξες όμως με το μου έχει πει η Βίκυ το ενα, η Βίκυ το άλλο. #shoppingstar",Not Offensive
8,3673,"Έλαβε το μήνυμα λέει ο Τσίπρας. Νταξ πριν καλά καλά του το στείλουν, αυτός το έχει λάβει, το έχει διαβάσει, το έχει κατανοήσει και έχει καταστρώσει και το ανάλογο σχέδιο για να κερδίσει. Πουτάνα όλα #ekloges2019",Offensive
9,3676,@USER Όχι δε βρίζεις ούτε είσαι τραμπούκος! Γιατί τα έσβησες αυτά; Το παίζεις συζητήσιμος μέχρι που δεν εχεις απάντηση γυρνάς σε βρισίδι. Του είπα ότι είναι μισογύνης όταν είπε ότι οι γυναίκες ρίχνουν παντόφλα γι αυτό είναι καλύτερες στο στόχο αυτή ήταν η απάντηση. #survivorgr,Not Offensive
10,3697,Καλησπερα και καλη εβδομαδα τουιτερο-στυλιστριες!Να και μια φορα που καταφερα ναμαι κι εγω μαζι σας! Τι βλεπουμε; Ποιο ειναι αυτο το νευρωσικο παρτσακλο; #shoppingstar,Offensive
11,3703,"Απόλυτη κατάρρευση για τον ΣΥΡΙΖΑ – Κάνει τα πάντα για ψήφους ο Τσίπρας! Ρομά, πρόσφυγες όσοι «δεν έχουν σταθερό» οι ψηφοφόροι του",Not Offensive
12,3727,Το σκατουλίνι ήθελε βραχιόλι και αυτό κιόλας; Αυτή δεν ήθελε πριν να πάρει σκουλαρίκια; Πόσο διπρόσωπη ρε φίλε; #shoppingstar,Offensive
